No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code,U.S. viewers(millions)
"Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers.","Left temporarily homeless and with a broken leg after the events of the previous episode, Greg stays in Steven's house while his leg heals and unintentionally interferes with Steven's healing powers."
28,28,"""Space Race""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"October 9, 2014",1026-028,1.99[30]
"Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away.","Steven, Pearl, and Greg visit Greg's family's barn and work together to build a spaceship so that Pearl can revisit the wonders of the cosmos, but Pearl gets a little carried away."
29,29,"""Secret Team""",Ian Jones-Quartey (supervising)Elle Michalka (art),Hilary Florido and Katie Mitroff,"October 16, 2014",1026-030,2.46[31]
"When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going.","When they accidentally pop a bubble containing gem shards, Steven forms a secret team with Amethyst and Pearl to retrieve the shards before Garnet finds out. After doing so, Steven wants to keep the secret team going."
30,30,"""Island Adventure""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"October 23, 2014",1026-033,1.53[32]
Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.,Steven tries to mend Lars and Sadie's friendship by taking them on vacation to the mysterious Mask Island; but they become stranded there for several days.
31,31,"""Keep Beach City Weird""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"October 30, 2014",1026-029,1.45[33]
Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.,Steven is taken in by Ronaldo's conspiracy theories about the paranormal occurrences in Beach City.
32,32,"""Fusion Cuisine""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"November 6, 2014",1026-031,1.46[34]
Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.,Steven asks the Gems to fuse together into Alexandrite and pretend to be his mother at a dinner with Connie's family.
33,33,"""Garnet's Universe""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"November 13, 2014",1026-036,1.64[35]
"When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day.","When Garnet returns from a mission, Steven imagines a story about what she did all day."
34,34,"""Watermelon Steven""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"November 20, 2014",1026-035,1.83[36]
"Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems.","Steven grows a patch of watermelons shaped like himself, but they soon come to life and attack the people of Beach City and the Crystal Gems."
35,35,"""Lion 3: Straight to Video""",Ian Jones-Quartey (supervising)Elle Michalka (art),"Joe Johnston, Jeff Liu, and Rebecca Sugar","December 4, 2014",1026-032,1.92[37]
"Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","Lion keeps lying on Steven's face while he's sleeping, leading Steven to discover a pocket dimension in Lion's mane.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation."
36,36[4],"""Alone Together""[nb 2]",Ian Jones-Quartey (supervising)Elle Michalka (art),"Hilary Florido, Katie Mitroff, and Rebecca Sugar","January 15, 2015",1026-034,1.67[38]
"While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie.","While practicing how to fuse with the Gems, Steven accidentally fuses with Connie, forming an unprecedented Gem/human fusion named Stevonnie."
37,37[4],"""Warp Tour""[nb 2]",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"January 8, 2015",1026-037,1.94[39]
"Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth.","Steven becomes uneasy after seeing an unknown object traversing a warp stream, despite the Gems' attempts to disprove his claims. They learn that the source of the mysterious objects is Peridot, a Gem from the Gem Homeworld checking up on Earth."
38,38,"""The Test""",Ian Jones-Quartey (supervising)Elle Michalka (art),Hilary Florido and Katie Mitroff,"January 22, 2015",1026-038,1.94[40]
"Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test.","Steven finds out that the Lunar Sea Spire mission from the third episode was meant to be a test of his ability to join the Gems on missions, so he demands a new test."
39,39,"""Future Vision""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"January 29, 2015",1026-039,2.03[41]
Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.,Steven learns that Garnet can see into the future and becomes paranoid about the possible dangers around him.
40,40,"""On the Run""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"February 5, 2015",1026-040,2.08[42]
"Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet.","Steven and Amethyst try out life on the road, and Amethyst reveals her origin to Steven: she was created on Earth as part of the original Gem colonization of the planet."
41,41,"""Horror Club""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"February 12, 2015",1026-041,1.67[43]
"Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie.","Steven goes to the lighthouse to watch scary movies with Ronaldo, Lars, and Sadie."
42,42,"""Winter Forecast""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"February 19, 2015",1026-043,2.05[44]
"Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave.","Steven has to take Connie back to her home before a blizzard hits Beach City, and Garnet shows him some future outcomes of this before they leave."
43,43,"""Maximum Capacity""",Ian Jones-Quartey (supervising)Elle Michalka (art),"Hilary Florido, Katie Mitroff, and Rebecca Sugar","February 26, 2015",1026-042,1.97[45]
"While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler.","While cleaning out Greg's storage unit, he and Amethyst are distracted by watching old episodes of their favorite sitcom Li'l Butler."
44,44,"""Marble Madness""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"March 5, 2015",1026-044,1.92[46]
"When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose.","When droids from space descend towards warp pad zones, Steven and the Gems attempt to find out their purpose."
45,45,"""Rose's Scabbard""",Ian Jones-Quartey (supervising)Elle Michalka (art),"Raven M. Molisee, Paul Villeco, and Rebecca Sugar","March 9, 2015",1026-045,1.22[47]
Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.,Pearl takes Steven to a special place that belonged to Rose Quartz after Lion finds the scabbard for Rose's sword.
46,46[4],"""Open Book""",Ian Jones-Quartey (supervising)Elle Michalka (art),Hilary Florido and Katie Mitroff,"March 19, 2015",1026-046,1.73[48]
"When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending.","When Connie is upset by the ending of her favorite book series, Steven takes her to Rose's room to attempt to remake the ending."
47,47[4],"""Shirt Club""[nb 3]",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"April 16, 2015",1026-047,1.42[51]
Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.,Steven and Buck make T-shirts featuring Steven's crudely drawn advertisement for Greg's guitar lessons.
48,48[4],"""Say Uncle""[nb 4]",Elle Michalka and Jasmin Lai (art),Joe Johnston and Jeff Liu,"April 2, 2015",1031-056,1.93[53]
"In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem.","In this non-canon crossover episode, Uncle Grandpa arrives to aid Steven in unlocking the power of his gem."
49,49[4],"""Story for Steven""[nb 3]",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"April 9, 2015",1026-048,2.00[54]
Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.,Greg tells Steven the story of how he met Rose Quartz.
50,50,"""The Message""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"March 10, 2015",1026-049,1.30[55]
Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.,Steven and the Gems need Greg's help to retrieve a message being transmitted through a Gem artifact called a Wailing Stone.
51,51,"""Political Power""",Ian Jones-Quartey (supervising)Elle Michalka (art),Hilary Florido and Katie Mitroff,"March 11, 2015",1026-050,1.42[56]
"After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation.","After the Gems cause a power outage in Beach City, Steven helps Mayor Dewey control the situation."
52,52,"""The Return"" (Part 1)",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"March 12, 2015",1026-051,1.70[57]
Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.,Steven helps evacuate Beach City in the face of an invasion from the Gem Homeworld by Peridot and the warrior Gem Jasper.
53,53,"""Jail Break"" (Part 2)",Ian Jones-Quartey (supervising)Elle Michalka (art),"Joe Johnston, Jeff Liu, and Rebecca Sugar","March 12, 2015",1026-052,1.70[57]
"Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches.","Trapped on the Gem Warship, Steven attempts to rescue the Gems, including two unfamiliar Gems named Ruby and Sapphire, from Peridot and Jasper's clutches."
