No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,U.S. viewers(millions)
"Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask.","Ruby decides to explore her own life separate from Sapphire, and has a Wild West adventure as a lonesome cowboy with the help of Steven, Amethyst, and Greg. Although she has fun, she still misses Sapphire, and she returns to her with an important question to ask."
150,22,"""Made of Honor""",Kat Morris (supervising)Liz Artinian (art),Lamar Abrams and Christine Liu,"July 5, 2018",0.83[142]
"As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding.","As Ruby and Sapphire plan their wedding, Sapphire wishes that their friends from the war could be there to see it. Steven releases Bismuth, catches her up on everything, and tries to convince her to go to the wedding."
151152,2324,"""Reunited""",Joe Johnston (supervising)Liz Artinian (art),"Miki Brewster, Jeff Liu, Katie Mitroff and Paul Villeco","July 6, 2018",0.97[143]
"The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond.","The wedding of Ruby and Sapphire, with the Gems and several Beach City citizens in attendance, goes without a hitch and Garnet reforms. However, during the reception, Blue and Yellow Diamond arrive and awaken the Cluster. While the Crystal Gems, with the Cluster's support, fight the Diamonds, Steven tries to get them to listen to the truth about Pink Diamond."
153,25,"""Legs from Here to Homeworld""",Kat Morris (supervising)Liz Artinian (art),"Amber Cragg, Hilary Florido, and Tom Herpich","December 17, 2018[nb 18]",0.63[144]
"Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help.","Steven tells Blue and Yellow Diamond that their final attack on the Earth corrupted the remaining Gems on the planet, instead of destroying them outright as intended. The three together attempt to cure Centipeetle's corruption, and almost succeed. To try to finish the job and cure all the corrupted Gems, Blue, Yellow, and the Crystal Gems travel to Homeworld to seek White Diamond's help."
154,26,"""Familiar""",Kat Morris (supervising)Liz Artinian (art),"Amber Cragg, Hilary Florido, Tom Herpich, and Pen Ward","December 24, 2018",0.74[145]
"Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems.","Steven struggles to adapt to life as a Diamond. With the help of Pearl, Yellow Diamond and Blue Diamond, he hopes to find out more about Pink Diamond to familiarize himself with his new life on Homeworld. Along with that, he tries to find a way to get all four Diamonds together to finally heal the corrupted Gems."
155,27,"""Together Alone""",Kat Morris (supervising)Liz Artinian (art),"Lamar Abrams, Christine Liu, and Tom Herpich","December 31, 2018",0.65[146]
"Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse.","Steven and the gang plan a ball for all of Homeworld in order to get all four Diamonds together in one room and possibly discuss curing Gem corruption. Steven is frustrated when White Diamond doesn't show up, and matters go from bad to worse."
156,28,"""Escapism""",Joe Johnston (supervising)Liz Artinian (art),Joe Johnston and Adam Muto,"January 7, 2019",0.67[147]
"With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her.","With Steven and Connie trapped in a prison tower, and the other Crystal Gems on Homeworld poofed, Steven tries using his psychic powers to contact Bismuth for aid. However, he ends up in the body of a Watermelon Steven on Mask Island, and has to find a way to get to her."
157–160,29–32,"""Change Your Mind""[nb 19]",Joe Johnston and Kat Morris (supervising)Liz Artinian (art),"Lamar Abrams, Miki Brewster, Amber Cragg, Hilary Florido, Joe Johnston, Ian Jones-Quartey, Christine Liu, Jeff Liu, Katie Mitroff, Kat Morris, Rebecca Sugar, and Paul Villeco","January 21, 2019",0.99[149]
"For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves.","For their biggest mission yet, Steven, Connie, and the rest of the Crystal Gems attempt to change the way the Diamonds see Steven, other Gems, and themselves."
